pais;comentario
Singapore;Why emoji cannot at the center of my message. I read all the groups they sending emoji can at the center.
United Kingdom;Amazing improvement on this app since I first downloaded it years back. Great alternative to Skype & FaceTime. Very convenient all in one communication tool. Great stuff
India;Vry gd app
Australia;It asked me to rate it so I'm rating it�
Hong Kong;Can't use after updated!
Hong Kong;Post， Post，Debug App
Canada;Easy to use and reliable. The pothole and police alerts are great!
Singapore;Recent after update.  I keep have no notification only when I on the apps. Then all the message come.  Please revert on this. \n\nNot sure is bug issue or.   I have friend having the same issue.
Canada;Good support system for my health
United States;Down 3 pounds after using this app for one week. Love how easy it is to use and how it helps to keep me accountable for what I put in my mouth.
Canada;I just love opening IG and seeing the exact same posts I saw 8 hours ago. ? Everyone misses the chronological timeline, so please bring it back.
South Africa;Love it and everything about it. Please allow us to at least save our own pics!
Hong Kong;When I go to public pages, the app is closed and go back to iPhone main page. I can only see the page with Safari instead of Facebook app. It happened couple of months. Please fix it ASAP
Canada;I'm at almost a gig on this phone for this stupid app. It doesn't even say what it's updating just updates every couple weeks. I've got better things to use my space for
Australia;PLEASE STOP THE VIDEOS FROM AUTO-PLAYING !  \n\nIt's very off-putting (I find) - to be looking through the items, and videos are playing all over the place.\n\nAnd anyone else who feels the same- please copy and paste this message \n\n❤️Love the app apart from that
Singapore;Very useful for communication especially old friends or family members. But most of people are use for religious and political, that things I don't like it. Whatever, it's most of the best social media ever
South Africa;So very useful! I waited too long to get this app and now I'm hooked!
Hong Kong;I STILL CANNOT GET THE WEEKDAY STICKERS !! Can you fix this bugs ???
India;There's a problem with the update dated 16 may 2017 please fix it's loading too much
Canada;I like many of the ideas and functionality of Pinterest. My complaint is that they don't have a clear way of saying show less of a certain type of image.
Canada;How come I'm not getting sound on any of the videos anymore? :/
Australia;I wonder can u add use voice to report things? Cuz type by hand when driving is so dangerous
India;Nice app
Hong Kong;Ig story  day of the week  。。。。
Canada;good good !
Hong Kong;Great app to share your life with others!!!
United Kingdom;Don't like the loss of the Messenger icon from the Facebook screen. Screen freezes in the middle of a post. This is not an improvement.
Australia;Makes sharing photos really easy. You can use filters and add captions to your photos.
South Africa;Waze is a super initiative! It really helps you in traffic and for that you also need to thank all your participating Wazers! With Waze I don't need another Gps, the navigation is really very good! For that I thank the Wazer Team! I use Waze every day either for assistance for myself or to make life easier for my fellow Wazers! Thank you for the initiative & all the hard work in the background!
Hong Kong;Too much advertising
Canada;Excellent App...one can find the calorie count on any food. Very pleased with theApp.
United States;It's the best app for traffic.  Ty
Hong Kong;It make the Facebook app so slow.
Canada;Facebook is awesome but I can't get in
Australia;It’s an awesome app, as it is easy to use, help you get a real followers, to be smart, elegant and different to  use this app. To change your social media life. Works wonderfully! They deliver the insta likes fast and you can complete offers to get more
Australia;Great app but would prefer my stream to be kept chronological and less ads. Stories is bull.
United Kingdom;Awesome app really. Nothing to say
Singapore;It froze and won't update. What's wrong?
United States;Until we have the option to use the location services on this app set to while in use, I'll leave it uninstalled. It's ridiculous to have this apps location services set to always
United Kingdom;Pinterest is great for searching for ideas you know you want to look at but the feed page of pins from whom you follow is just awful these days. It rarely shows me anything I want to see and it has removed the caption underneath pins to say who pinned it. Devs: bring that feature back asap! If you can keep it for promoted pins (i.e. sh*t I don't want to see) you can keep it for the pinners I do want to see.
United Kingdom;Really good app to share funny and fun things
United Kingdom;There have been a lot of changes lately that have made me no longer really use the app. My feed no longer shows who has pinned what. There are too many ads. And to top it off you got rid of the ❤ option, which means you also got rid of the liked section where I had loads of pins waiting until I had the time to put them in boards. Sad to say I don't like the app any more and will be deleting it if things don't improve ☹️
United Kingdom;Jesus Christ is the only Way, Truth and Life ?
Australia;Older version is way better, this app keep crashing each time I open it!..\n\nThis app keep getting worse from each update!
Hong Kong;hahahahahahahahahahahahahahaha
Canada;EVERYTIME I TRY SENDING AN IMAGE ON DMS IT CRASHES AND I OPEN IT AGAIN IT CRASHES I ALWAYS HVE TO UNINSTALL THE APP AND INSTALL IT AGAIN BS FIX THIS
United States;Pinterest is my own organized filing cabinet.  Love it!
India;Useless updates
United States;The app automatically updated and now I can't get into my account it only works online for me ??‍♂️ it keeps saying Sorry, there was a problem with your request like whaaat tf ?? Ig mad trippin yo.
United States;Easily the best fitness tracker.
United States;Best way to save and organize stuff you like, think is funny, want to go back to, share, etc.
India;features not for older version of iOS. you should have mentioned it�
India;i can't able to receive notifications until i open my app?zzz fix the problem soon...!
Australia;Instagram has lost its main focus that made the app great. Stories and albums now? Stop trying to make Instagram something it's not. Also how about an iPad app. This service is getting more annoying than ever.
Canada;Please.
Singapore;What's with the sudden spamming of ads on my newsfeed??? Before I updated it only shows 1-3 per day which is fine, but after the stupid update the ads keep appearing EVERY TIME I REFRESH WTF?!?!? It's so annoying pls fix this.
India;In current version we can only mute the status. Developers please add a option wherein we can block the status of a particular person without blocking his or her contact. Because mute doesn't hide the status.
Australia;Teaching me lots of back routes I would never have found! Fantastic!!!
India;Fix this problem ..\nI don't seen who are seen my status
United States;Will NOT share to Facebook! �
United Kingdom;Have enjoyed this app, but frustrated to share to my Facebook business page. It appears to allow only one admin - we have 3. Therefore my shares go to my personal page which is not what I want. Frustrating ?
United States;Great ?
United Kingdom;Accurate and reliable, also very well designed.
Canada;Love this app, other then it's tendency to direct me to the roads that are empty for a reason. It has directed me to a road that has ended up being closed a couple times and just yesterday directed me to a road that was flooded. Perhaps if there was a way to report to not take that road the way that we report hazards?
South Africa;Best app to get shortest/fastest way to your destination \nThank you
Australia;- terrified customer service \n- blocked tagging from first moment out of no where\n- its been week and no response to messages requesting to fix\n- fan club account unable to tag the main person whats the point \n- insta don't care to look into it or respons
Australia;whats happen Pinterest ??\nyou have lost all my saved pins since updating your app\nhow do i get back the thousands of ideas i have been collecting\nvery disappointed
Canada;Love pin ?�
Australia;Horrible app ! Super hard to navigate! Waste of space
India;Where in the world is the option for hiding an activity from timeline? It only shows unlike or delete it the activity log. Why it's been stripped down? Where are the tabs gone? Replying comments have agaon changed. What is happening?
Hong Kong;good app
Singapore;Although I may not agree to its nonsensical warning of saturated fat every time I eat my favorite roasted pork belly, nevertheless, it's a great app. I can find most of the food's calories and that itself is a good assist which helped me keep an eye on my daily calories intake and attain my ideal weight.
India;No need of such updates. Of 212 MB Twice a week
Canada;It's so fantastic to share photos or videos to friends and it's so simple to use!\n C'est une app fantastic pour montrer des photos ou des vidéos à des amis et c'est vraiment simple d'utilisation! ?
South Africa;Awesome
Canada;You guys need to find a different way for ads in videos. Either before the video starts, or add a skip button you completely ruin the experience of watching a video someone has posted by stopping it a few minutes in for an add. As soon as the ad starts I lose interest in finishing the video.
Hong Kong;It said this video could not be sent. Please choose another video\n\nIn fact all videos are not able to send
Canada;I never write reviews but come on Facebook. You keep making making us download a new version and these new versions are shittier and shittier each time. Put the messenger thing back where it was, and take the friend requests out of the notifications. There should be 5 things at the bottom while I'm on Facebook. Not 3 ?
Singapore;Best GPS app user friendly, clean design and clear directions
United Kingdom;I love this app but when you're viewing links the pin it button is covering a lot of the post making it impossible to read! Please fix this!
Canada;Amazing app
Australia;I like my photography and i like sharing my photos on Facebook but every time I try to add some photos into an album I've created the app freezes and doesn't let me upload my photos. Please fix this, it's causing grief for me \n\nAlso, the quality of profile pictures being uploaded is terrible
South Africa;The newest version opens up on my iPhone but even after re-installing Pinterest in my iPad, it doesn't even want to open the app.
Australia;I Absolutly love instagram its my fav source of social media \nA tips to highly consider\n\nTo enable and edit/change the cover frame on an Instagram video once it's already uploaded?
United States;My favorite app. Has everything from food to clothes to crafts and everything in between.
Canada;La version premium vaut la peine. Je trouve ça génial !
Hong Kong;Can't show the photo after update
South Africa;One of the messaging apps.
United Kingdom;Doesn't get any better than this! Absolutely fab!!! Never leave reviews but this deserves one! Must have for any journeys. Recommending to everyone!
Canada;Depuis environ deux mois j'ai perdu mes amis à droite, après quelques mises à jours ils ne sont jamais revenus...pouvez-vous m'aidez?
Hong Kong;I want the favourite contact list back!!!
Australia;Each update it's gets worse, the family and close friends tabs never show the people I have selected for these groups. All posts are not put in the news feed. The chat heads are gone on IOS.  can no longer see who is online with out searching for the person in messenger. The shopping option seems to only work for some people and I'm not on the those. And the story at the top... this isn't snap chat or instagram.
Australia;Really good I love it!
United States;Very easy to use and love all the features!  Plus, it's very accurate and reliable.
India;Who made this update? Worst update ever...
South Africa;Although I have an onboard GPS plus various related apps installed on my iPhone and iPad, when I travel and require realtime assistance on what route will get me at my destination on time, WAZE remains my preferred choice. My most reliable, user friendly and up-to-date-to-the-moment travel companion!
Canada;...you Waze!
Canada;Are you kidding me? You don't fill up my explore page with enough advertisements? Oh, not to mention the ones you slip in between stories. Moving to drop Instagram like Facebook.
Australia;Messenger gone, no group search function.
Canada;Love this app. Guides you around traffic with all kinds of amazing tricks and secret routes. Discovered routes in my city I didn't know about! Never drive without it.
Singapore;great but no swift key on apple..can u install?
United States;The boards make it so easy to save the pins by subject. When I need to shop for something, I can get back to one I need to refresh my memory. When I workout I can find the pin that lets me focus on my arms or abs. Great app!
India;Great app. Very useful. Please give apple watch support!!!!!!
United Kingdom;Helps me monitor my calorie intake and exercise
United States;I use it mostly when I am driving by myself so I can't tag a lot of hazards and traffic but I greatly appreciate those who do.  I have used in different cities and in construction and it is always accurate!   Thank you for a great back!
Canada;Cool app!
India;I getting issues in video ! And i hate that please inform and improve your app
India;While opening any facebook page , application is automatically shutting down. I have latest version of app. Need help in this
United Kingdom;Normal direct messages are disappearing as sspn as i send them??? Fix asap
Hong Kong;Think twice before update! App keep crashing after latest update. Please fix !!
United States;I have gotten so many updates.. and it's unbelievable how I still can't change the color of my post or my background.. everybody else has it except me. It's really irritating.
Canada;No more button for friend request. Also, you should put an update log
Australia;Been using waze for a while now so happy I found this to replace google maps
Australia;The new update doesn't allow me to search within my followers or following. Please fix this
Hong Kong;Good
United States;Locked me OU tod my account bc my face wasn't totally looking at the camera like some psycho path, seriously? Fb is a joke
Hong Kong;Block ï¼Ÿ
Canada;Is there something wrong with facebook or its just my wifi? Because i cant scroll down any further in my news feed
India;Fringerprint security feature must be available in whatsapp
Hong Kong;update app, Ip7 whatsapp icon 3D touch , ï½ž
South Africa;My Facebook keeps crashing! It won't even open!!!!!!!!!!! \n Have serious work to do in it, very disappointed !!!!
Australia;Stop changing the look of Facebook! It's actually annoying. I don't like having my friend requests in my notifications and I don't like having my messenger button at the top
Singapore;Please fix it immidiatelly dont support a new vesion..my phone ios 7.
Singapore;this update didnt do anything to me at all. i looked like its even worse than before. i can't upload videos but only pictures. my internet is literally fine but when i want to upload a video, it either says preparing which it didnt even prepare, instead it just loaded half way or no internet when my internet is perfectly fine. instagram, you need to fix this. its pissing off alot of instagram users
India;Alwayz stay tuned to app love it
Canada;Great for setting up boards for ideas. Also love the animal humour stuff
Canada;Update - support replied & said they're aware of this problem (stuck at Baby Wazer) but nothing they can do right now. Give me a break, this has been a problem for 2 years!!!! This is the 3rd time I've given this app a chance. \n \n Finally, someone else in support fixed my account.
Canada;Will not sync to my brand new charge HR... fix happens every update...
Australia;Stupid update. Can't like photos or comments in a thread. Still defaults to popular so it's the same every time I log on. Very boring.
South Africa;Wow! I cannot believe how Pinterest changed\n I love Pinterest and I couldn't complain!!
India;Is there any need for regular update. Can't make a good app, . Better to use web version??
Canada;After being on the app for like 10 mins it closes itself down. My screen goes black and I'm back to my phone background. Please fix this. ï¿½
Canada;Nothing will load, nothing is working and not only for me for all my friends too. I think it has something to do with the new update...
Singapore;Very reliable.
Hong Kong;whatsapp ï¼Œ google whatsappï¼Œ ã€‚
India;Please decrease the aap size.. why u dont ubderstand the memory issue..countinuously size of the app is increasing..
Singapore;When I went out to different places, the bad point is that I can't save a story until once I reached. This would save amounts of phone data. So I put moderate as it is good to share stories n feelings. Pls update this App which could save pictures or videos from phone gallery before uploading to the Instagram story by adding gallery button in it, thanks.
South Africa;Whatsapp keeps connecting and never connects- all my other apps are working so its not a internet connection problem ????????????????????? Please help
India;Now after new updation, when some1 sends videos and it becomes group , its hang too much too open.. fix it..
South Africa;?ï¿½
India;In chat list last row hidden in 7+ iphone
Australia;I can't believe anyone can give this app anymore than 3 stars. Used to be amazing when it was about you, friends and things you would like to follow. Unfortunately with the initial change of not having posts in chronological order completely ruining the experience until the recent update of have advertisements every 3 posts. I would understand them in the explore section but to have them in my feed makes it very hard to keep this app. I wish only that you could go back 6+ months to when it was the best and only app I would use. Hopefully we see some sort of new photo sharing app take your place now!
United States;Great Ideas, Great Variety - Thank You!
India;Blah blah blah
South Africa;A great source for new ideas
India;Awsm to use
Singapore;Instagram started its update with the new logo, which was fine by me. Then it had the multiple accounts feature so I can switch between my accounts easily. However, what really ticks me off is that whenever I tag someone in a post, it will automatically send it as a DM to the person I tag unless I choose otherwise. I often criticize people in comments, and it keeps sending it as a DM. Now it looks like I'm looking for a fight with them.
United States;Instagram is fun and easy to use but its legitimately copying Snapchat. Personally this annoys me and should be stopped. They're both popular apps but having Instagram so desperately try to outdo and copy Snapchat is honestly getting irritating. I've stopped updating the app due to the annoying 'perks' which are exactly what Snapchat has. IG should just stay how it was as a photo sharing app and stop trying to compete. It's better off as something original than a cheap copy.
Singapore;After the update my fb keeps on crashing!!! I can't even watch videos, can't open any page or any groups or else the app itself would crash! Not just that, whenever i updt status, when i type it became so slow + it would move the typing to other sentence!
South Africa;Please make the whatsapp status videos to be 1 minute long
United States;I must say this app with its dynamic info generated by the users has not let me down during why travels. And with every update it gets better
India;Not able to download pics/video/audio over wifi....please look into this.\n with mobile datapack everything is fine.
India;Tewqyij
United States;Easy to use. Very helpful in tracking calorie intake.
Singapore;I updated last night and now the app is crashing. Whenever I open it, it just shows blank screen and goes back to home screen. Tried restarting and switch off my phone a lot of times but nothing happened. Still the same. Need to fix this issue asap. Also re installed, it is still crashing. Please fix asap.
Australia;The app crashes every time I use it. I have to uninstall and reinstall to be able to use it each time. So frustrating
India;What exactly Facebook updates in app? Every now and then I see app updates consuming hundreds of MBs data...\n Disappointing...
United States;I love IG helps with my catering company so much @dezontheforksandspoons follow me â¤ï¸
United Kingdom;:3
United States;Good
Hong Kong;ï¼Œ
India;Please Add option for changing fonts. Else it's the best application for social networking and helpful app for sharing photos and videos to family friends.
United Kingdom;Use all the time now.
United States;Good Instagram
South Africa;Mark I get it. You want to buy everything but by doing that and then making them all alike is going to make those apps redundant. Whatsapp is a messaging up. We don't need live updates! Please bring back the contact list.
Hong Kong;The last update has disabled my iPhone's ability to upload photos to Facebook. The app freezes or quits itself. Frustrating
Canada;Good
Singapore;Love the entire app. Awesome!
United Kingdom;Very good app always works well no problems
Canada;Usually always runs smoothly, almost never experience anything bad or too glitchy.
Hong Kong;contact,\n  down grade d!\n \n Poor update !!!\n I can't find my contact ,\n Not user friendly anymore !!!!
Hong Kong;Cannot open the app after latest update, but it is ok now after restart iphone
United States;Love it!!!! Use it every day!!
Australia;It's pretty good. Only exception is the hundreds of megabytes of updates it insists on updating a few times a week without any explanation.
United States;Use it frequently and is the best app out there for my needs.
United States;You have swallowed my soul!
United States;When I hit a wall in terms of creativity this app helps get me focused, showing me suggestions that I would have never thought about
South Africa;Just great ?keep it up
United States;Amazing app. Best part is constant updates by users & the trip planning!
Australia;Once you have determined (from the picture shown) what you would like it is often difficult to get to the actual site or tutorial.
Hong Kong;Tab
Singapore;why did they remove the like feature?? BRING IT BACK
United States;They let these huge accounts post spam ads ALL THE TIME multiple accounts will post the same thing about dumb products that don't exist or are spam and when report them nothing happens. I guess you can say I loved the OLD instagram.
Hong Kong;Too many ad makes me feel sick
United States;I don't like that I searched for something (date is: 6/28/17) and that I can't see which PIN is the most popular/will give me the best results....! The whole reason I PIN is to get ideas/suggestions from those who have engaged in my query before ?.... \n \n Before 6/18/17....\n \n ...Easy to Navigate!\n \n I enjoy using my pinterest app all the time! I use it for recipes and crafts, and when I'm feeling motivated I use it for exercise tips and dream travel destinations. This app is so addictive!
Canada;After uploading videos Instagram distorts my file. Now they seem very muddy. Thanks Instagram for ruining great footage. No point in shooting in 1080p anymore\n \n Also my videos appear to be blurry. Also what up with this new update looks like everyone on instagram very excited about it haha\n \n Too many adds \n way too many fake accounts\n ruined my high quality video files
Hong Kong;IOS10.3.1,\n  WhatsApp ï¼Œ ï¼Œ\n   , send \n  ï¼Œ
United Kingdom;Great app for saving time in london especially at peck times
United Kingdom;Honestly every single update is exactly what Snapchat has. Are you not capable of getting your own ideas?? Stop copying snapchat it's honestly so annoying. I used to like Instagram, now it's my least favourite social media app.
India;Whatsap doesnt support most of the emojis which is send to me from other andriod phones it's going on from past 3-4 months doesn't support new emojis work hard on it.
United Kingdom;I think its too much like Snapchat with the filters but I like it
Singapore;It's good no bugs glitches
United States;excellent
Canada;WAY TOO MANY ADS NOW! Instagram is absolutely awful to use now that there's an ad every 5 photos. Completely wrecks the experience. HATE IT
India;Dear team in my phone whatsapp 3G calling not available so please do something to I use 3G calling in my whatsapp
Canada;Make an update where you can see who you've have a pending follow request with
Australia;Bring back chronological order!
Australia;It keeps crashing since the new update
Singapore;I have updated the app to the latest version. Re-install it as well. Still no face filter on my story. Why is it certain accounts has this error? Appreciate if this error is fixed soon!
Hong Kong;ï¼\n  ã€lock
Canada;Future of Facebook is dead it's not young anymore to many of the older generations are useing it Facebook used to be for high school students now it's just plain old.... it can't keep up Facebook is dead sorry to say it but it's true.
Australia;Instagram used to be my favourite social media app, but now there are so many ads in my feed it's impossible to even see my own friends photos- please reduce the number of ads Instagram! They are frustrating and mostly completely irrelevant. I would even be happy to pay for an ad free version- it's that ridiculous.\n \n Also the way notifications are shown in groups now means I am constantly missing comments or likes from friends that I would usually reply to. It was much simpler and easy to see before.
United Kingdom;I have enjoyed working with Myfitnesspal ap and find it help to understand about food and why when trying to diet it can be very hard to stick to a plan thank you.
United States;i will update my app, like any other person, and the update will not actually happen. most people i know have this new archive photos update and i do not. i'm not sure why. I don't know how to get it but i'm missing out.
India;Frequent updates, Lot of app size (which includes data). Rest the app is running smoothly.
Singapore;Contact List GONE! \n Please bring back the contact list soonest
United States;It always tells me there's an error, I really hope you guys can fix that asap .
India;Cant update my profile pic with this version
United Kingdom;I thinkI like4like to use this app to get more followers so that i can promote my instagram account and I recommend this to anyone who wants to get out there as the followers will come as more likes happen ! The best likes app in the world they will allow you t this app is the best one ever all the other one u have to pay and all that stuff but ye,I love it u should get it now It works super
Hong Kong;ï¼Ÿ
Hong Kong;Why we cannot select ig video NOT auto playing? So annoying, inconvenient and data concern!
United States;My husband and I have been hiking, jogging and walking with our Blaze Fitbits. We're having so much fun challenging each other, and tracking our progress. For us, this was the best deal ever!!\n \n Judy
Hong Kong;Good
Canada;Captions have all disappeared. Combine that with the non-chronological feed and the images seem random and pointless without description of context. Massive fail.
Canada;The new update doesn't have the seen feature. It suckss ?
Canada;Would like to see a single button on the main screen to push as soon as police are seen, a more detailed description could still remain on the secondary screen. Other than this this is an exceptional driving tool.
United Kingdom;The new update won't update? Weird...
United States;Every time I click on a link, the app will start a pop up saying I've won a free spin. It won't let me read or watch the videos. This is getting annoying. Please fix the problem.
India;Facebook lite*
India;Although its a daily app its a big hassle to download 250 mb apps as an update. Its a great app but the stars also matters \n Pls see that the size is way beyond and my other handsets have a update of almost 400 mbs \n Improve you guys otherwise peoples will not install the app. \n I am on the brink of deleting the app cause of its size.
United Kingdom;K so basically I have a fan page that I wanted to change so when I wrote my bio all it was, was I love Ariana grande and an emoji it just said feedback required so I pressed tell us and said that's all I was putting and it didn't fix it or do anything so then I didn't do anything and I then wanted to change my profile pic to an edit of Ariana grande with a purple back ground and it said the same thing I really need to change it now so plz fix it because this fan page means loaaddsss to me Thankyou Erin
Australia;Makes profile pictures blurry when uploading! Crappy!!
Canada;I have been using this app for a year as a free app and have achieved success: logging, losing and encouraging friends and family who also use the app. Today while I was recording my food entries I noticed an advertisement for McDonalds MCFlurry followed by the banner ad to go premium. I don't know if this is clever marketing to encourage me to disable ads. I imagine the paid articles from Quaker Oats and the like would still continue to appear on the front page. I will still use the app and I will still not pay for it.
South Africa;I love the way you have integrated the security feature about the two phase log in into your application! I am for security and speed in everything l do, thank you very much now l will sleep well, but please as a suggestion make it have a built in password or code to open the messages not as an add on from other developers, thank you.
India;I have iPhone 4... I am unable to enjoy the video call option ... Please provide an update for iPhone 4 too
South Africa;Please enable video download, so that if u have saved ur vids u can download them again and also make privacy settings to restrict others from downloading ur vids or let select vids downloadable!
United Kingdom;I have the paid version of Tom Tom yet I use Waze because it not only tells you routes it does so much more. I just hope I always have waze and it grows strength to strength. My words cannot compliment it enough and Waze is amazing! Maps, route diversions, where traffic is heavy has route diversions, speed. Etc... try it and you will see what I mean.
Australia;Won't load. Freezes. Crashes. Rubbish.
United States;I really dislike how the news feed is now filled with people like other peoples profile pics or statuses. The people they interact with arent close to me so I shouldnt have my facebook filled with irrelevant stuff
Hong Kong;Can't login\n Can't login\n Can't login\n Almost a week ?\n (HTTPS)
Australia;Cmon mark Z surely your billions of $$$ doesn't require u to add video ads inside videos! I just watched a 4 minute video and within 3minutes I watched 2 15 second ads!!! Really???? U get enough advertisements! Leave them out of the videos!
India;Magnificent
Australia;Annoying with all the we found this for you prompting a look through\n \n But good artwork for tattoo ideas
Hong Kong;
Australia;GIVE ME BACK MY NOTIFICATIONS. I'M MISSING IMPORTANT THINGS. \n NO NEW NOTIFICATIONS. JUST MY DAMN NOTIFICATIONS!!
United States;Worst update ever it always crashes especially while watching videos \n \n Return the online list by swiping the right side of screen and remove this stupid useless stories ?
Canada;Works great, love the features!
India;This is rediculous that app required frequent update of more than 200 mb a week.one can not use without update.stupid app
Canada;Very good Socal media app
South Africa;The old version was much better, I mean seriously, why would you take away the like button? Please bring it back, it was fast and convenient, and now I'm sitting with a 1000+ pins on a board I don't even want.
Australia;This app has been ruined by in the last few updates. Stop repeat of posts ffs! Bring back chronological order. Stop repeat of posts ffs! Stop with the ads. Stop repeat of posts ffs! Really...Stop repeat of posts ffs! See how annoying it is?
India;Why does a social messenger app needs 650Mb??? Every other app is trying to reduce file size in new updates and you guys are increasing size in every update, which by the way is every f****** week.
Hong Kong;Force update
United States;Love this app #proudwazer cheers
South Africa;If you're going to discontinue a feature (I'm assuming that is what happened to the Like icon and ALL my likes) please notify users so that they can prepare for it rather than losing information. \n What a frustrating idea to make it just go away!! Please return the Like option!!!
Hong Kong;not user friendly
United Kingdom;Tried updating app. Resetting phone. Haven't been able to follow anybody for the last 5-7 days had serious impact on my Instagram business haven't received any followers for almost a week lost a lot of earning because of this. Can you rectify quickly please Instagram as I won't be using your promotion if this continues.
Canada;I'm able to watch people go Live on Instagram and that's great. As for me, I can't go Live on Instagram because my phone is an iPhone 4s. Would it be possible if u could give that access to Instagram live with older generation phones. Please and thank u.
South Africa;As usual!
Canada;Can't like peoples pictures in comments unless they put a comment in as well
Australia;The new version is always crashing and the videos I play don't have any sound!!!
United States;I have no idea if it's my phone or Instagram .. but it lags and the app gets frozen & wont let me search up people on my followers.
Canada;I hate getting ads every third photo! I don't have Instagram so I can do all my shopping on it! I use it to share and look and pictures for Pete sake!!! Get rid of those sinking ads!!!!
Hong Kong;good
Hong Kong;Fix it!!!!
Hong Kong;.
Hong Kong;ï¼Œ ã€‚
South Africa;Easy and Fun To Use,Pleasant app to communicate with the whole world.
Canada;Great for quick traffic info!
Australia;The whole app isn't loading pages for me. It's not my internet cause all of my other apps work perfectly fine except Facebook.
India;I am loving it
Singapore;Newsfeed will not load at all
Canada;Superbe pour l'Ã©change d'idÃ©es !
India;Greatjobï¿½
Hong Kong;ï¼\n  ï¼\n  ï¼\n \n  \n  \n  ï¼
United Kingdom;Don't hold yourself, post that amazing image straight away!
Australia;ï¿½
United Kingdom;Who gave your app permission to automatically increase the volume of my phone whilst using your app? I turn it back down and 20 seconds later it increases it.\n Facebook revenue perhaps???
Singapore;After update of the new version, my fb notification was hang and not update. Its so troublesome till i haf to always rely in my email . Pls kindly fix the issue asap
India;Wow
United Kingdom;Put it back to having most recent as default, not top stories.. I don't really care what happened last week ?
India;After updating to latest version I am not able to access insta, it's almost a week now. Guys need your help
Canada;Il est ou la traduction wtf disparu merci mise a jour de ?
Australia;Thankz for fixed it and now its great to use. Thanks
India;Face filters are not available for iphone 5s even after update....plz do the needed..
United Kingdom;This is my first ever review of a product but I love my new Fitbit HR special edition so much that pretty much straight away it has got me thinking about my lifestyle, eating healthier, drinking far more water than I used too and increased my activity levels. Some more prompts/messages of encouragement randomly would be great especially for those who need it but overall I am over the moon with mines, the technology and quality... Thanks!
United Kingdom;can we get screen resolution support for the 12.9 iPad Pro please? I'd rate this app 5 stars if it was supported. (It's been out for 18 months!!)
India;I have updated the latest version but than also I m not getting the camera facility working on my application which I have seen in many phones by sliding on right side so please look into this matter
United States;Waze is a fast, usually reliable mapping app. I work EMS so fast and efficient is very important to the patients and myself. There are times where it times out or freezes but that is usually due lack of signal.
United States;The new update for iPhone Facebook is not any good. They took away the button on home page to see what friends are online. Now you have to go to the messaging center to see who's online. Also the camera button they added is in a stupid place.
United Kingdom;Really found this app well developed, with a definitely sufficient amount of features! The app is very friendly and gives you encouragement along the way, which is nice as it feels like they're supporting you to your goal. Works great for me (a happy owner of a Fitbit Blaze) Thanks, keep up the great work ??
United Kingdom;Super easy to use and great for inspiration
South Africa;Why did I get billed R29 to update whatsapp?
Hong Kong;ï¼Œ ï¼Ÿ
Canada;Easy to use and stay on track. I'm not very tech savvy so this app is simple and perfect.
Hong Kong;7plus
United States;Constantly buggy. Not impressed by any means
Australia;This app used to be great. The current version doesn't sync properly at all. I usually have to log out of the app and close it down and then log in again for it to work. Still doesn't show the distance over the hours when you click on it. NEEDS A SERIOUS UPGRADE TO FIX BUGS!
Canada;Who's idea was it to add Ideas for you to the main view? With no way to get rid of it???\n Stupid. Done with Pin until that is gone.\n Now even more useless changes. The menu bar disappears when off the main feed? How idiotic is that??\n App deleted.\n So, new update April 24. Tried app again. NOTHING fixed. looks like it's good-bye for good.\n Thanks for ruining Pinterest.\n Update, Like a fool I checked out the last update. Still no functionality added. \n I believe it is proof positive that Pinterest does not give a damn about its users or feedback provided.\n Ok. So in fairness I thought, ok, one more try. Still utterly useless, and far less functional than the app was several iterations ago. Moronic.
United States;Easy, and fast app.
South Africa;I used to use the TomTom app but Waze is better in almost every single way. Hasn't let me down so far and hopefully, it never will.
Hong Kong;ï¼Œ
Hong Kong;ï¼Ÿ ï¼Ÿ
United Kingdom;Add @luke_bulb (that's not me)
India;After the update I can't to read comments on any pages or posts I can see only stickers only and why should I spend such 200mb update for wasting my time. \n Really mess with this..
Singapore;Newsfeed is full of ads, and will only show popular posts. If u only have a few likes, chances are you are never noticed
United Kingdom;Can't upload photos without it crashing and then freezes my entire phone. Very annoying - get it sorted!!!!!
Australia;Enjoyed reporting in regularly
South Africa;I enjoy the new Whatsapp but could you please bring back the favorites icon, it's hard to get you contacts, nor to reach people you've added on Whatsapp
United States;When can I expect to be able to post a link in my story like so many others I see?
Canada;Trying to add a happy birthday post but every time I add pictures it freezes !!!!!! ï¿½
United States;I don't have rewind thing and I'm looking at all my friends use and I'm just like ..... ?f only I had
Canada;U guys are awesome thank you for this app
India;Try to make it clear
United States;Fun to use!
United States;Truly rely on Waze so much! Thank You !!
Australia;Why does Waze only have Always/Never for location permission? While Using needs to be an option.
South Africa;Stop.
South Africa;WhatsApp
Singapore;wanted to type, for my pictures then it hanged , when want to clicked post ,then hangs too
Hong Kong;login ï¼ ï¼ï¼ï¼ï¼
South Africa;I love my whatapp
South Africa;The best thing ever since google and i mean it. Even google maps can't beat this one â˜ï¸ great work Waze team ?ï¿½
Australia;Why are u making it like snapchat!!!!????? On the dms when you send photos it goes away after a while... the point of group dms is to scroll back up later and see the funny photos!! Totally just ruined the DMS
India;Unable to download pictures and videos on my iphone. Pls fix asap
